DATE,TIME,Open,Highest,Lowest,Close,Volumn
2019/9/16,9:05,344.7,345.25,343.88,345.25,2980
2019/9/16,9:10,345.01,345.49,344.72,345.2,1908
2019/9/16,9:15,345.18,345.21,344.5,345.12,976
2019/9/16,9:20,345.11,345.13,344.8,344.88,526
2019/9/16,9:25,344.8,344.85,344.4,344.73,850
2019/9/16,9:30,344.72,344.8,344.63,344.78,344
2019/9/16,9:35,344.84,344.98,344.8,344.98,606
2019/9/16,9:40,344.95,344.95,344.56,344.56,608
2019/9/16,9:45,344.56,344.63,344.53,344.57,580
2019/9/16,9:50,344.52,344.75,344.52,344.72,466
2019/9/16,9:55,344.71,344.74,344.66,344.69,356
2019/9/16,10:00,344.68,344.75,344.61,344.71,440
2019/9/16,10:05,344.75,344.89,344.75,344.81,402
2019/9/16,10:10,344.81,344.9,344.7,344.77,468
2019/9/16,10:15,344.74,344.75,344.68,344.73,150
2019/9/16,10:20,344.72,344.74,344.66,344.68,546
2019/9/16,10:25,344.68,344.7,344.64,344.68,474
2019/9/16,10:30,344.68,344.69,344.57,344.69,316
2019/9/16,10:35,344.66,344.7,344.53,344.56,474
2019/9/16,10:40,344.55,344.55,344.41,344.44,286
2019/9/16,10:45,344.47,344.47,344.31,344.37,210
2019/9/16,10:50,344.37,344.4,344.24,344.32,624
2019/9/16,10:55,344.3,344.32,344.23,344.25,508
2019/9/16,11:00,344.27,344.33,344.07,344.11,1220
2019/9/16,11:05,344.11,344.3,344.1,344.25,568
2019/9/16,11:10,344.27,344.4,344.25,344.3,324
2019/9/16,11:15,344.28,344.5,344.28,344.47,390
2019/9/16,11:20,344.5,344.57,344.41,344.41,226
2019/9/16,11:25,344.45,344.5,344.39,344.39,158
2019/9/16,11:30,344.39,344.4,344.28,344.4,186
2019/9/16,11:35,344.4,344.49,344.25,344.4,76
2019/9/16,11:40,344.4,344.4,344.19,344.2,78
2019/9/16,11:45,344.2,344.2,344.15,344.15,56
2019/9/16,11:50,344.17,344.3,344.15,344.2,54
2019/9/16,11:55,344.15,344.3,344.15,344.27,70
2019/9/16,12:00,344.26,344.26,344.1,344.1,206
2019/9/16,12:05,344.19,344.25,344.11,344.25,50
2019/9/16,12:10,344.21,344.32,344.21,344.3,24
2019/9/16,12:15,344.2,344.4,344.2,344.4,86
2019/9/16,12:20,344.4,344.48,344.4,344.4,40
2019/9/16,12:25,344.4,344.5,344.4,344.5,12
2019/9/16,12:30,344.5,344.6,344.45,344.52,126
2019/9/16,12:35,344.54,344.56,344.4,344.43,54
2019/9/16,12:40,344.43,344.44,344.43,344.43,14
2019/9/16,12:45,344.35,344.4,344.35,344.35,30
2019/9/16,12:50,344.3,344.3,344.22,344.22,8
2019/9/16,12:55,344.28,344.5,344.28,344.5,24
2019/9/16,13:00,344.38,344.38,344.36,344.36,26
2019/9/16,13:05,344.3,344.36,344.3,344.36,14
2019/9/16,13:10,344.36,344.36,344.3,344.3,10
2019/9/16,13:15,344.3,344.36,344.3,344.36,38
2019/9/16,13:20,344.3,344.38,344.3,344.3,28
2019/9/16,13:25,344.3,344.34,344.18,344.18,150
2019/9/16,13:30,344.18,344.22,343.93,344.06,792
2019/9/16,13:35,344,344.06,343.65,343.74,1128
2019/9/16,13:40,343.75,344.14,343.66,343.86,1134
2019/9/16,13:45,343.81,343.86,343.65,343.8,672
2019/9/16,13:50,343.8,343.9,343.7,343.9,524
2019/9/16,13:55,343.9,344.37,343.83,344.06,576
2019/9/16,14:00,344.12,344.12,343.88,343.92,286
2019/9/16,14:05,343.92,343.92,343.72,343.88,1386
2019/9/16,14:10,343.84,343.93,343.76,343.81,564
2019/9/16,14:15,343.89,344.06,343.82,344.06,680
2019/9/16,14:20,344.05,344.39,344.05,344.35,548
2019/9/16,14:25,344.3,344.65,344.3,344.55,1094
2019/9/16,14:30,344.5,344.54,344.36,344.43,180
2019/9/16,14:35,344.43,344.43,344.28,344.39,560
2019/9/16,14:40,344.4,344.52,344.34,344.45,726
2019/9/16,14:45,344.45,344.56,344.45,344.53,432
2019/9/16,14:50,344.53,344.67,344.52,344.54,1056
2019/9/16,14:55,344.54,344.55,344.34,344.35,196
2019/9/16,15:00,344.35,344.43,344.28,344.35,270
2019/9/16,15:05,344.35,344.37,344.25,344.27,806
2019/9/16,15:10,344.3,344.47,344.28,344.47,436
2019/9/16,15:15,344.47,344.48,344.06,344.06,530
2019/9/16,15:20,344.19,344.22,344.12,344.22,624
2019/9/16,15:25,344.41,344.5,344.24,344.45,648
2019/9/16,15:30,344.4,344.44,343.96,344.3,346
2019/10/8,9:05,343,343.4,342.35,343.29,2440
2019/10/8,9:10,343.34,343.62,343.04,343.59,1186
2019/10/8,9:15,343.59,343.59,343.44,343.51,804
2019/10/8,9:20,343.52,343.92,343.52,343.89,848
2019/10/8,9:25,343.89,344.1,343.86,344.01,786
2019/10/8,9:30,344.01,344.15,343.89,343.9,852
2019/10/8,9:35,343.96,344.08,343.79,344.08,342
2019/10/8,9:40,344,344.12,343.85,343.93,398
2019/10/8,9:45,343.9,343.94,343.75,343.8,596
2019/10/8,9:50,343.76,343.84,343.63,343.65,760
2019/10/8,9:55,343.6,343.64,343.59,343.64,506
2019/10/8,10:00,343.64,343.64,343.29,343.32,652
2019/10/8,10:05,343.32,343.32,343.13,343.18,862
2019/10/8,10:10,343.2,343.2,342.96,343.18,1048
2019/10/8,10:15,343.19,343.25,343.11,343.22,482
2019/10/8,10:20,343.19,343.23,343.14,343.23,254
2019/10/8,10:25,343.23,343.37,343.2,343.28,568
2019/10/8,10:30,343.28,343.31,343.27,343.28,364
2019/10/8,10:35,343.28,343.28,342.97,343,524
2019/10/8,10:40,343,343.11,342.95,343.05,362
2019/10/8,10:45,343.05,343.12,343.02,343.05,182
2019/10/8,10:50,343.12,343.2,343.06,343.11,218
2019/10/8,10:55,343.16,343.19,343.12,343.18,168
2019/10/8,11:00,343.13,343.2,343.1,343.14,198
2019/10/8,11:05,343.14,343.29,343.14,343.25,318
2019/10/8,11:10,343.22,343.25,343.17,343.25,164
2019/10/8,11:15,343.25,343.25,343.18,343.18,132
2019/10/8,11:20,343.17,343.2,343.05,343.05,304
2019/10/8,11:25,343.05,343.05,342.99,343.01,218
2019/10/8,11:30,343.01,343.04,342.92,343.01,184
2019/10/8,11:35,343.04,343.14,342.97,342.97,126
2019/10/8,11:40,343.06,343.06,343.06,343.06,2
2019/10/8,11:45,343.06,343.07,343.04,343.07,22
2019/10/8,11:50,343.1,343.1,343.07,343.07,34
2019/10/8,11:55,343.15,343.15,343.15,343.15,10
2019/10/8,12:00,343.16,343.16,343.15,343.15,8
2019/10/8,12:05,343.07,343.12,343.07,343.12,6
2019/10/8,12:10,343.07,343.07,343,343,14
2019/10/8,12:15,343,343.05,343,343.05,10
2019/10/8,12:20,343,343,343,343,2
2019/10/8,12:25,343.05,343.11,343,343.09,130
2019/10/8,12:30,343.05,343.09,343.05,343.09,24
2019/10/8,12:35,343.01,343.08,343.01,343.08,8
2019/10/8,12:40,343.07,343.07,343.07,343.07,8
2019/10/8,12:45,343.08,343.08,343.02,343.02,10
2019/10/8,12:50,343.07,343.07,343.07,343.07,2
2019/10/8,12:55,343.08,343.08,343.02,343.08,8
2019/10/8,13:00,343.08,343.08,343.08,343.08,2
2019/10/8,13:05,343.04,343.08,343.03,343.03,82
2019/10/8,13:10,343.05,343.08,343.05,343.08,4
2019/10/8,13:15,343.08,343.12,342.95,342.95,314
2019/10/8,13:20,342.92,343.1,342.92,343.02,38
2019/10/8,13:25,343,343.08,343,343,52
2019/10/8,13:30,343.08,343.2,343.08,343.2,82
2019/10/8,13:35,343.22,343.3,343.19,343.24,412
2019/10/8,13:40,343.22,343.25,343.11,343.11,466
2019/10/8,13:45,343.14,343.15,343.08,343.1,80
2019/10/8,13:50,343.1,343.1,342.96,342.96,242
2019/10/8,13:55,342.96,343,342.79,342.79,612
2019/10/8,14:00,342.79,342.95,342.79,342.9,324
2019/10/8,14:05,342.9,342.9,342.72,342.8,546
2019/10/8,14:10,342.77,342.9,342.75,342.9,492
2019/10/8,14:15,342.9,342.95,342.8,342.9,576
2019/10/8,14:20,342.83,342.98,342.83,342.9,328
2019/10/8,14:25,342.9,342.92,342.5,342.61,1284
2019/10/8,14:30,342.62,342.69,342.55,342.62,876
2019/10/8,14:35,342.59,342.85,342.59,342.69,614
2019/10/8,14:40,342.69,342.79,342.69,342.78,472
2019/10/8,14:45,342.78,342.98,342.78,342.98,278
2019/10/8,14:50,342.98,342.99,342.85,342.85,262
2019/10/8,14:55,342.9,343,342.9,342.9,498
2019/10/8,15:00,342.81,342.95,342.79,342.89,1408
2019/10/8,15:05,342.95,343.1,342.92,343.09,1194
2019/10/8,15:10,343.09,343.09,343,343.01,1190
2019/10/8,15:15,343.04,343.09,342.95,343.09,764
2019/10/8,15:20,343,343.05,342.96,343.02,456
2019/10/8,15:25,343.02,343.14,343.01,343.14,280
2019/10/8,15:30,343.14,343.4,343.13,343.31,780
2020/1/2,9:05,341,341.7,340.74,340.88,1144
2020/1/2,9:10,340.97,341.18,340.71,341.17,928
2020/1/2,9:15,341.18,341.26,341.12,341.15,1294
2020/1/2,9:20,341.15,341.59,341.15,341.59,458
2020/1/2,9:25,341.59,341.7,341.52,341.54,728
2020/1/2,9:30,341.59,341.59,341.45,341.46,260
2020/1/2,9:35,341.43,341.6,341.4,341.6,242
2020/1/2,9:40,341.62,341.68,341.57,341.57,360
2020/1/2,9:45,341.57,341.69,341.56,341.58,508
2020/1/2,9:50,341.6,341.62,341.56,341.57,272
2020/1/2,9:55,341.57,341.58,341.44,341.5,344
2020/1/2,10:00,341.54,341.58,341.54,341.58,360
2020/1/2,10:05,341.57,341.57,341.35,341.37,840
2020/1/2,10:10,341.36,341.47,341.32,341.44,524
2020/1/2,10:15,341.43,341.51,341.41,341.5,518
2020/1/2,10:20,341.5,341.57,341.5,341.53,354
2020/1/2,10:25,341.55,341.56,341.54,341.56,82
2020/1/2,10:30,341.56,341.58,341.55,341.56,52
2020/1/2,10:35,341.56,341.7,341.55,341.68,652
2020/1/2,10:40,341.68,341.7,341.64,341.68,568
2020/1/2,10:45,341.7,341.79,341.68,341.76,538
2020/1/2,10:50,341.75,341.8,341.72,341.78,698
2020/1/2,10:55,341.8,341.8,341.64,341.65,644
2020/1/2,11:00,341.65,341.71,341.65,341.68,190
2020/1/2,11:05,341.68,341.71,341.66,341.71,324
2020/1/2,11:10,341.71,341.72,341.7,341.71,426
2020/1/2,11:15,341.71,341.71,341.63,341.67,450
2020/1/2,11:20,341.7,341.7,341.53,341.53,444
2020/1/2,11:25,341.53,341.55,341.46,341.47,198
2020/1/2,11:30,341.48,341.57,341.45,341.55,258
2020/1/2,11:35,341.6,341.6,341.56,341.57,104
2020/1/2,11:40,341.57,341.6,341.56,341.56,26
2020/1/2,11:45,341.56,341.56,341.55,341.55,6
2020/1/2,11:50,341.5,341.6,341.5,341.55,14
2020/1/2,11:55,341.6,341.6,341.59,341.59,22
2020/1/2,12:00,,,,341.59,
2020/1/2,12:05,341.55,341.55,341.55,341.55,6
2020/1/2,12:10,341.55,341.55,341.55,341.55,4
2020/1/2,12:15,341.51,341.55,341.51,341.55,16
2020/1/2,12:20,341.51,341.55,341.51,341.55,4
2020/1/2,12:25,,,,341.55,
2020/1/2,12:30,341.54,341.54,341.51,341.51,12
2020/1/2,12:35,341.5,341.51,341.5,341.51,20
2020/1/2,12:40,341.51,341.51,341.51,341.51,50
2020/1/2,12:45,341.51,341.54,341.5,341.54,102
2020/1/2,12:50,,,,341.54,
2020/1/2,12:55,341.5,341.5,341.5,341.5,104
2020/1/2,13:00,341.5,341.53,341.48,341.48,16
2020/1/2,13:05,341.48,341.48,341.35,341.35,104
2020/1/2,13:10,341.34,341.34,341.28,341.28,78
2020/1/2,13:15,341.3,341.34,341.28,341.34,76
2020/1/2,13:20,341.37,341.45,341.37,341.45,82
2020/1/2,13:25,341.4,341.45,341.4,341.4,114
2020/1/2,13:30,341.4,341.43,341.39,341.43,128
2020/1/2,13:35,341.47,341.5,341.36,341.5,504
2020/1/2,13:40,341.5,341.55,341.41,341.41,338
2020/1/2,13:45,341.45,341.53,341.45,341.48,324
2020/1/2,13:50,341.48,341.48,341.42,341.42,254
2020/1/2,13:55,341.42,341.44,341.4,341.4,546
2020/1/2,14:00,341.4,341.4,341.33,341.34,404
2020/1/2,14:05,341.34,341.42,341.34,341.42,636
2020/1/2,14:10,341.44,341.5,341.43,341.44,644
2020/1/2,14:15,341.41,341.46,341.4,341.46,658
2020/1/2,14:20,341.46,341.46,341.37,341.4,956
2020/1/2,14:25,341.4,341.46,341.39,341.45,564
2020/1/2,14:30,341.45,341.46,341.42,341.45,728
2020/1/2,14:35,341.45,341.45,341.42,341.43,56
2020/1/2,14:40,341.45,341.46,341.38,341.38,594
2020/1/2,14:45,341.4,341.42,341.37,341.4,332
2020/1/2,14:50,341.4,341.45,341.38,341.43,650
2020/1/2,14:55,341.44,341.48,341.37,341.37,716
2020/1/2,15:00,341.37,341.4,341.35,341.35,438
2020/1/2,15:05,341.38,341.44,341.34,341.39,370
2020/1/2,15:10,341.38,341.39,341.35,341.35,168
2020/1/2,15:15,341.36,341.37,341.2,341.34,1146
2020/1/2,15:20,341.37,341.41,341.34,341.34,450
2020/1/2,15:25,341.34,341.35,341.3,341.3,234
2020/1/2,15:30,341.3,341.33,341.26,341.26,592
2020/2/3,9:05,356.3,356.7,355.3,356.03,4836
2020/2/3,9:10,356.04,356.23,355.13,355.53,3962
2020/2/3,9:15,355.47,356,355.31,355.93,2506
2020/2/3,9:20,356,356.15,355.8,356,2032
2020/2/3,9:25,356,356.97,356,356.85,1998
2020/2/3,9:30,356.8,357.29,356.68,357.16,2220
2020/2/3,9:35,357.16,357.23,356.3,356.5,1918
2020/2/3,9:40,356.4,356.5,356.13,356.3,1282
2020/2/3,9:45,356.3,356.33,356,356,1154
2020/2/3,9:50,356.01,356.45,355.99,356.28,856
2020/2/3,9:55,356.21,356.28,356.04,356.12,1070
2020/2/3,10:00,356.15,356.25,356.05,356.1,942
2020/2/3,10:05,356.1,356.35,356.08,356.3,836
2020/2/3,10:10,356.3,356.67,356.3,356.59,830
2020/2/3,10:15,356.59,356.99,356.55,356.9,1068
2020/2/3,10:20,356.85,356.97,356.76,356.79,594
2020/2/3,10:25,356.79,356.83,356.71,356.78,526
2020/2/3,10:30,356.72,356.75,356.55,356.65,246
2020/2/3,10:35,356.69,356.79,356.46,356.79,602
2020/2/3,10:40,356.73,356.95,356.73,356.91,900
2020/2/3,10:45,356.91,356.95,356.82,356.82,508
2020/2/3,10:50,356.82,356.85,356.74,356.8,264
2020/2/3,10:55,356.8,356.86,356.78,356.78,930
2020/2/3,11:00,356.76,356.78,356.65,356.7,238
2020/2/3,11:05,356.73,356.9,356.63,356.9,522
2020/2/3,11:10,356.94,356.95,356.8,356.84,232
2020/2/3,11:15,356.84,356.97,356.8,356.9,368
2020/2/3,11:20,356.86,356.9,356.65,356.71,558
2020/2/3,11:25,356.71,356.88,356.66,356.7,298
2020/2/3,11:30,356.7,356.83,356.6,356.7,904
2020/2/3,11:35,356.75,356.83,356.61,356.61,178
2020/2/3,11:40,356.61,356.7,356.61,356.7,124
2020/2/3,11:45,356.78,356.8,356.7,356.7,206
2020/2/3,11:50,356.65,356.65,356.62,356.65,88
2020/2/3,11:55,356.65,356.7,356.61,356.62,132
2020/2/3,12:00,356.65,356.74,356.62,356.7,156
2020/2/3,12:05,356.7,356.8,356.69,356.71,50
2020/2/3,12:10,356.7,356.75,356.7,356.75,38
